balls,period,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15
b=1,p=1,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes
b=1,p=2,0 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes
b=1,p=3,0 bytes,8 bytes,16 bytes,16 bytes,16 bytes,16 bytes,16 bytes,16 bytes,16 bytes,16 bytes,16 bytes,16 bytes,16 bytes,16 bytes,16 bytes
b=1,p=4,0 bytes,8 bytes,16 bytes,24 bytes,24 bytes,24 bytes,24 bytes,24 bytes,24 bytes,24 bytes,24 bytes,24 bytes,24 bytes,24 bytes,24 bytes
b=1,p=5,0 bytes,16 bytes,32 bytes,40 bytes,48 bytes,48 bytes,48 bytes,48 bytes,48 bytes,48 bytes,48 bytes,48 bytes,48 bytes,48 bytes,48 bytes
b=1,p=6,0 bytes,16 bytes,40 bytes,56 bytes,64 bytes,72 bytes,72 bytes,72 bytes,72 bytes,72 bytes,72 bytes,72 bytes,72 bytes,72 bytes,72 bytes
b=1,p=7,0 bytes,32 bytes,80 bytes,112 bytes,128 bytes,136 bytes,144 bytes,144 bytes,144 bytes,144 bytes,144 bytes,144 bytes,144 bytes,144 bytes,144 bytes
b=1,p=8,0 bytes,40 bytes,120 bytes,176 bytes,208 bytes,224 bytes,232 bytes,240 bytes,240 bytes,240 bytes,240 bytes,240 bytes,240 bytes,240 bytes,240 bytes
b=1,p=9,0 bytes,64 bytes,208 bytes,320 bytes,384 bytes,416 bytes,432 bytes,440 bytes,448 bytes,448 bytes,448 bytes,448 bytes,448 bytes,448 bytes,448 bytes
b=1,p=10,0 bytes,88 bytes,336 bytes,544 bytes,664 bytes,728 bytes,760 bytes,776 bytes,784 bytes,792 bytes,792 bytes,792 bytes,792 bytes,792 bytes,792 bytes
b=1,p=11,0 bytes,144 bytes,592 bytes,992 bytes,1.2 KB,1.4 KB,1.4 KB,1.5 KB,1.5 KB,1.5 KB,1.5 KB,1.5 KB,1.5 KB,1.5 KB,1.5 KB
b=1,p=12,0 bytes,200 bytes,968 bytes,1.7 KB,2.2 KB,2.4 KB,2.6 KB,2.6 KB,2.6 KB,2.7 KB,2.7 KB,2.7 KB,2.7 KB,2.7 KB,2.7 KB
b=1,p=13,0 bytes,320 bytes,1.7 KB,3.1 KB,4 KB,4.5 KB,4.8 KB,4.9 KB,5 KB,5 KB,5 KB,5 KB,5 KB,5 KB,5 KB
b=1,p=14,0 bytes,464 bytes,2.9 KB,5.5 KB,7.3 KB,8.3 KB,8.8 KB,9 KB,9.2 KB,9.2 KB,9.3 KB,9.3 KB,9.3 KB,9.3 KB,9.3 KB
b=1,p=15,0 bytes,720 bytes,5 KB,10 KB,13.5 KB,15.4 KB,16.4 KB,16.9 KB,17.2 KB,17.3 KB,17.4 KB,17.4 KB,17.4 KB,17.4 KB,17.5 KB
b=1,p=16,0 bytes,1.1 KB,8.5 KB,18.1 KB,24.8 KB,28.6 KB,30.6 KB,31.6 KB,32.1 KB,32.4 KB,32.5 KB,32.6 KB,32.6 KB,32.6 KB,32.6 KB
b=1,p=17,0 bytes,1.7 KB,14.8 KB,32.9 KB,46.1 KB,53.6 KB,57.6 KB,59.6 KB,60.7 KB,61.2 KB,61.4 KB,61.6 KB,61.6 KB,61.6 KB,61.7 KB
b=1,p=18,0 bytes,2.5 KB,25.7 KB,59.8 KB,85.3 KB,100.2 KB,108.1 KB,112.2 KB,114.2 KB,115.2 KB,115.7 KB,116 KB,116.1 KB,116.2 KB,116.2 KB
b=1,p=19,0 bytes,3.9 KB,44.9 KB,109.5 KB,159.3 KB,188.8 KB,204.5 KB,212.6 KB,216.7 KB,218.7 KB,219.7 KB,220.2 KB,220.5 KB,220.6 KB,220.7 KB
b=1,p=20,0 bytes,6 KB,78.4 KB,200.3 KB,297.2 KB,355.3 KB,386.6 KB,402.7 KB,410.8 KB,414.9 KB,417 KB,418 KB,418.5 KB,418.8 KB,418.9 KB
b=2,p=1,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes
b=2,p=2,0 bytes,0 bytes,8 bytes,16 bytes,16 bytes,16 bytes,16 bytes,16 bytes,16 bytes,16 bytes,16 bytes,16 bytes,16 bytes,16 bytes,16 bytes
b=2,p=3,0 bytes,0 bytes,16 bytes,32 bytes,40 bytes,48 bytes,48 bytes,48 bytes,48 bytes,48 bytes,48 bytes,48 bytes,48 bytes,48 bytes,48 bytes
b=2,p=4,0 bytes,0 bytes,16 bytes,56 bytes,88 bytes,104 bytes,112 bytes,120 bytes,120 bytes,120 bytes,120 bytes,120 bytes,120 bytes,120 bytes,120 bytes
b=2,p=5,0 bytes,0 bytes,32 bytes,104 bytes,208 bytes,272 bytes,304 bytes,320 bytes,328 bytes,336 bytes,336 bytes,336 bytes,336 bytes,336 bytes,336 bytes
b=2,p=6,0 bytes,0 bytes,40 bytes,192 bytes,376 bytes,600 bytes,728 bytes,792 bytes,824 bytes,840 bytes,848 bytes,856 bytes,856 bytes,856 bytes,856 bytes
b=2,p=7,0 bytes,0 bytes,80 bytes,432 bytes,928 bytes,1.4 KB,1.8 KB,2.1 KB,2.2 KB,2.3 KB,2.3 KB,2.3 KB,2.3 KB,2.4 KB,2.4 KB
b=2,p=8,0 bytes,0 bytes,120 bytes,848 bytes,2.1 KB,3.3 KB,4.2 KB,5.2 KB,5.7 KB,6 KB,6.1 KB,6.2 KB,6.2 KB,6.2 KB,6.2 KB
b=2,p=9,0 bytes,0 bytes,208 bytes,1.8 KB,5 KB,8.3 KB,11 KB,13 KB,15 KB,16 KB,16.5 KB,16.8 KB,16.9 KB,17 KB,17 KB
b=2,p=10,0 bytes,0 bytes,336 bytes,3.8 KB,11.5 KB,20.6 KB,28.4 KB,34.1 KB,38.1 KB,42.2 KB,44.2 KB,45.2 KB,45.7 KB,46 KB,46.1 KB
