balls,period,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15
b=1,p=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b=1,p=2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b=1,p=3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2
b=1,p=4,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3
b=1,p=5,0,2,4,5,6,6,6,6,6,6,6,6,6,6,6
b=1,p=6,0,2,5,7,8,9,9,9,9,9,9,9,9,9,9
b=1,p=7,0,4,10,14,16,17,18,18,18,18,18,18,18,18,18
b=1,p=8,0,5,15,22,26,28,29,30,30,30,30,30,30,30,30
b=1,p=9,0,8,26,40,48,52,54,55,56,56,56,56,56,56,56
b=1,p=10,0,11,42,68,83,91,95,97,98,99,99,99,99,99,99
b=1,p=11,0,18,74,124,154,170,178,182,184,185,186,186,186,186,186
b=1,p=12,0,25,121,214,272,303,319,327,331,333,334,335,335,335,335
b=1,p=13,0,40,212,390,504,566,598,614,622,626,628,629,630,630,630
b=1,p=14,0,58,357,691,912,1034,1097,1129,1145,1153,1157,1159,1160,1161,1161
b=1,p=15,0,90,620,1254,1686,1928,2054,2118,2150,2166,2174,2178,2180,2181,2182
b=1,p=16,0,135,1064,2258,3098,3575,3825,3952,4016,4048,4064,4072,4076,4078,4079
b=1,p=17,0,210,1856,4118,5758,6702,7200,7454,7582,7646,7678,7694,7702,7706,7708
b=1,p=18,0,316,3209,7474,10664,12526,13515,14021,14276,14404,14468,14500,14516,14524,14528
b=1,p=19,0,492,5618,13690,19912,23594,25562,26572,27082,27338,27466,27530,27562,27578,27586
b=1,p=20,0,750,9794,25033,37145,44413,48323,50336,51354,51865,52121,52249,52313,52345,52361
b=2,p=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b=2,p=2,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2
b=2,p=3,0,0,2,4,5,6,6,6,6,6,6,6,6,6,6
b=2,p=4,0,0,2,7,11,13,14,15,15,15,15,15,15,15,15
b=2,p=5,0,0,4,13,26,34,38,40,41,42,42,42,42,42,42
b=2,p=6,0,0,5,24,47,75,91,99,103,105,106,107,107,107,107
b=2,p=7,0,0,10,54,116,170,230,262,278,286,290,292,293,294,294
